SupplierID,SupplierName,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,City,Country,CountryCode,State,OrderDate,OrderID,ShipDate,ShipMode,Shipping,PostalCode,Sales,Quantity,Discount,CreditCardType,CustomerFeedback,LeadTimeDays,OrderMonth,FeedbackScore,RevenuePerUnit
1,Bubbletube,8893,Dodge,Ram 2500,Goldenrod,2007,521963.45,60760-224,Louie Hinsche,Male,Mechanical Systems Engineer,Anchorage,United States,US,Alaska,2018-12-16,0268-6694,2019-03-14,Standard Class,Truck,99522,744796.41,1,0.83,diners-club-carte-blanche,Bad,88,2018-12,2,744796.41
2,Tagopia,9444,Toyota,Tundra,Crimson,2010,672222.04,67457-594,Alexandros Manuel,Male,Structural Engineer,Saint Cloud,United States,US,Minnesota,2019-02-13,0699-5728,2019-03-06,Standard Class,Truck,56398,794773.17,1,0.79,jcb,Good,21,2019-02,4,794773.17
3,Zoomdog,253,GMC,Savana 1500,Crimson,2011,504465.72,58411-135,Alvie Weighell,Male,Systems Administrator III,Chicago,United States,US,Illinois,2018-08-16,42043-251,2019-01-20,Second Class,Air,60674,968244.9,1,0.28,jcb,Okay,157,2018-08,3,968244.9
4,Oozz,1283,Volkswagen,Cabriolet,Fuscia,1990,646077.11,0591-5307,Flint Gunston,Male,Operator,Orlando,United States,US,Florida,2019-02-22,57520-1044,2019-03-16,First Class,Truck,32885,942213.82,2,0.76,jcb,Very Bad,22,2019-02,1,471106.91
5,Kare,8905,Mercury,Mariner,Teal,2009,699890.24,51655-189,Alyssa Filpi,Female,Software Engineer III,Detroit,United States,US,Michigan,2018-09-06,36987-3308,2019-01-29,Second Class,Air,48232,879519.57,1,0.5,china-unionpay,Bad,145,2018-09,2,879519.57
6,Rhynyx,8877,Toyota,Land Cruiser,Crimson,2005,694373.94,65811-0001,Wiatt Piche,Male,Professor,Atlanta,United States,US,Georgia,2018-08-16,11822-0580,2019-03-24,Standard Class,Air,31136,947785.4,2,0.39,laser,Good,220,2018-08,4,473892.7
7,Roombo,101,Subaru,Impreza,Indigo,1999,546977.55,31722-328,Findlay Alberti,Male,Biostatistician III,Boston,United States,US,Massachusetts,2019-03-16,24909-111,2019-01-24,Same Day,Truck,2208,883836.81,2,0.79,diners-club-carte-blanche,Very Bad,-51,2019-03,1,441918.405
8,Wordify,8854,BMW,X6,Purple,2013,528353.8,54162-018,Ottilie Wittman,Female,Administrative Officer,Charleston,United States,US,West Virginia,2018-06-30,49527-013,2019-01-01,Second Class,Truck,25336,779626.29,1,0.9,jcb,Bad,185,2018-06,2,779626.29
9,Skyvu,9043,Mitsubishi,Galant,Orange,2011,706964.35,44911-0060,Kirsten Calvey,Female,Assistant Manager,Phoenix,United States,US,Arizona,2018-11-04,52125-325,2019-01-16,First Class,Air,85035,818364.32,2,0.5,jcb,Okay,73,2018-11,3,409182.16
10,Feedfire,492,Subaru,Justy,Crimson,1988,798573.59,54868-5732,Archer Landsborough,Male,Speech Pathologist,San Jose,United States,US,California,2018-11-24,45802-283,2019-02-24,Standard Class,Truck,95113,902866.47,1,0.61,jcb,Very Bad,92,2018-11,1,902866.47
